countrycode,country,region,region_wb,year,gas_tax_imp,bmgap_diesel_spotprice_la,fuel_income_dependence,national_income_per_cap,VAT_Rate,gov_debt_per_gdp,polity,democracy_polity,autocracy_polity,goveffect,democracy_index,democracy,nat_oil_comp,nat_oil_comp_state,motorization_rate
AFG,Afghanistan,Asia + Pacific,South Asia,2014,0.272083124,0.454002642,0,630,3.5,8.700291,-1,0,0,-1.33,0.374292243,0,0,0,0.046837363
AGO,Angola,Africa,Sub-Saharan Africa,2014,-0.150713209,-0.225997358,32.49906396,5010,10,39.809857,-2,0,0,-1.12,0.220830556,0,1,1,0.031178342
ALB,Albania,Europe + North America,Europe & Central Asia,2014,1.099842832,0.974002642,2.292260333,4540,20,70.027863,9,1,0,-0.09,0.529352196,1,1,1,0.156796017
ARE,UAE,Middle East,Middle East & North Africa,2014,-0.334680019,-0.095997358,18.04851354,44370,0,,-8,0,1,1.44,0.12072582,0,1,1,0.212715734
ARG,Argentina,Latin America & Caribbean,Latin America & Caribbean,2014,0.705041905,0.594002642,2.954760567,12350,21,43.586674,8,1,0,-0.16,0.782023972,1,1,0,0.313479183
ARM,Armenia,Former SSR,Europe & Central Asia,2014,0.347833581,0.424002642,0,4140,20,39.301174,5,0,0,-0.2,0.404065704,0,0,0,
AUS,Australia,Asia + Pacific,East Asia & Pacific,2014,0.557749305,0.544002642,2.048238663,65170,10,24.66392,10,1,0,1.61,0.880207684,1,0,0,0.717891694
AUT,Austria,Europe + North America,Europe & Central Asia,2014,1.032706491,0.814002642,0.195769287,50370,20,58.911148,10,1,0,1.57,0.865514589,1,0,0,0.601308909
AZE,Azerbaijan,Former SSR,Europe & Central Asia,2014,0.106032427,0.034002642,19.86773037,7740,18,14.392538,-7,0,1,-0.36,0.195380785,0,1,1,0.133402146
BDI,Burundi,Africa,Sub-Saharan Africa,2014,0.724120067,0.694002642,0,260,18,35.772482,6,1,0,-1.13,0.305511037,1,0,0,0.006298063
BEL,Belgium,Europe + North America,Europe & Central Asia,2014,1.280362323,0.954002642,0,46920,21,90.131931,8,1,0,1.38,0.885194943,1,0,0,0.564543476
BEN,Benin,Africa,Sub-Saharan Africa,2014,0.35210145,0.364002642,0,930,18,30.452244,7,1,0,-0.46,0.663544213,1,0,0,0.023427987
BFA,Burkina Faso,Africa,Sub-Saharan Africa,2014,0.708038389,0.514002642,0,690,18,30.386912,0,0,0,-0.58,0.579164761,0,0,0,0.01540997
BGD,Bangladesh,Asia + Pacific,South Asia,2014,0.454503432,0.164002642,0.761916798,1110,15,33.150134,1,0,0,-0.77,0.385172695,0,1,0,0.004070666
BGR,Bulgaria,Europe + North America,Europe & Central Asia,2014,0.928559248,0.774002642,0.050468075,7730,20,31.989495,9,1,0,0.08,0.709292225,1,0,0,0.477440421
BHR,Bahrain,Middle East,Middle East & North Africa,2014,-0.600007787,,6.660303825,21010,0,44.397395,-10,0,1,0.57,0.17124188,0,1,1,0.41389892
BIH,Bosnia and Herzegovina,Europe + North America,Europe & Central Asia,2014,0.825491059,0.804002642,0,5300,17,45.038281,,,,-0.45,0.343871918,1,0,0,0.253295134
BLR,Belarus,Former SSR,Europe & Central Asia,2014,0.196868078,0.324002642,0.622725817,7600,20,32.93696,-7,0,1,-0.49,0.256614761,0,1,1,0.36001858
BLZ,Belize,Latin America & Caribbean,Latin America & Caribbean,2014,0.693891172,,2.271532382,4340,12.5,78.193337,,,,-0.66,,1,0,0,0.116027009
BOL,Bolivia,Latin America & Caribbean,Latin America & Caribbean,2014,-0.103893285,-0.195997358,7.462754945,2830,13,27.742438,7,1,0,-0.59,0.646562215,1,1,1,0.06715536
BRA,Brazil,Latin America & Caribbean,Latin America & Caribbean,2014,0.562020815,0.284002642,2.56167217,12100,17,58.45451,8,1,0,-0.14,0.864596085,1,1,0,0.206087149
BWA,Botswana,Africa,Sub-Saharan Africa,2014,0.283377586,0.334002642,0,7840,12,17.35146,8,1,0,0.35,0.69098966,1,1,0,0.174278253
CAF,Central African Republic,Africa,Sub-Saharan Africa,2014,1.01360357,0.924002642,0,390,19,69.162155,0,0,0,-1.85,0.248033508,0,0,0,
CAN,Canada,Europe + North America,North America,2014,0.354222288,0.424002642,9.601124805,52190,5,39.712127,10,1,0,1.76,0.858498956,1,0,0,0.644798361
CHE,Switzerland,Europe + North America,Europe & Central Asia,2014,1.119696776,1.054002642,0,86560,8,15.774562,10,1,0,2.11,0.921882063,1,0,0,0.591062091
CHL,Chile,Latin America & Caribbean,Latin America & Caribbean,2014,0.721230538,0.354002642,0.093969044,14990,19,14.043543,10,1,0,1.16,0.89443435,1,1,1,0.240554641
CHN,China,Asia + Pacific,East Asia & Pacific,2014,0.459684205,0.354002642,0.935010678,7500,17,,-7,0,1,0.32,0.095586377,0,1,0,0.107003013
CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa,2014,0.72972751,0.434002642,2.214331387,1450,18,44.789982,4,0,0,-0.83,0.473996253,0,1,0,0.039739164
CMR,Cameroon,Africa,Sub-Saharan Africa,2014,0.470349507,0.404002642,3.983603957,1480,19.25,21.533792,-4,0,0,-0.79,0.356799874,0,1,1,0.014725425
