countrycode,country,region,region_wb,year,gas_tax_imp,bmgap_diesel_spotprice_la,fuel_income_dependence,national_income_per_cap,VAT_Rate,gov_debt_per_gdp,polity,democracy_polity,autocracy_polity,goveffect,democracy_index,democracy,nat_oil_comp,nat_oil_comp_state,motorization_rate
COD,"Congo, Dem Rep",Africa,Sub-Saharan Africa,2014,0.791886593,0.934002642,1.180734806,440,13,,5,0,0,-1.56,0.304169945,0,1,0,0.024807691
COG,Congo,Africa,Sub-Saharan Africa,2014,0.422727334,0.164002642,31.67685768,2590,18,60.328712,-4,0,0,-1.11,0.266190137,0,1,1,
COL,Colombia,Latin America & Caribbean,Latin America & Caribbean,2014,0.354324785,0.304002642,5.909174342,8190,16,32.885041,7,1,0,-0.1,0.642338037,1,1,0,0.108092091
CRI,Costa Rica,Latin America & Caribbean,Latin America & Caribbean,2014,0.554772696,0.474002642,0,10090,13,38.546392,10,1,0,0.4,0.906291878,1,0,0,0.213955219
CYP,Cyprus,Europe + North America,Europe & Central Asia,2014,1.109722019,0.914002642,0,26670,19,151.06351,10,1,0,1.14,0.838416926,1,0,0,0.508554741
CZE,Czech Republic,Europe + North America,Europe & Central Asia,2014,0.986307568,0.864002642,0.043116653,18800,21,38.567023,9,1,0,1.02,0.862185298,1,0,0,0.536419369
DEU,Germany,Europe + North America,Europe & Central Asia,2014,1.299756483,0.844002642,0.085493257,47820,19,47.522655,10,1,0,1.73,0.878601887,1,0,0,0.588374031
DNK,Denmark,Europe + North America,Europe & Central Asia,2014,1.439669428,1.064002642,2.472923876,63670,25,38.221198,10,1,0,1.82,0.930207866,1,1,1,0.490655137
DOM,Dominican Republic,Latin America & Caribbean,Latin America & Caribbean,2014,0.679002641,0.474002642,0,6310,16,36.326708,8,1,0,-0.44,0.647362566,1,0,0,0.151595968
DZA,Algeria,Middle East,Middle East & North Africa,2014,-0.545601418,-0.575997358,11.41854589,5500,17,7.673275,2,0,0,-0.48,0.343596184,0,1,1,0.131873427
ECU,Ecuador,Latin America & Caribbean,Latin America & Caribbean,2014,-0.460693744,-0.445997358,10.96921525,6110,12,27.517065,5,0,0,-0.47,0.642417651,1,1,1,0.1370375
EGY,Egypt,Middle East,Middle East & North Africa,2014,-0.521283293,-0.485997358,2.5769885,3230,10,,-4,0,0,-0.82,0.18178183,0,1,1,0.05668808
ESP,Spain,Europe + North America,Europe & Central Asia,2014,1.094272866,0.814002642,0.015117734,29300,21,86.959415,10,1,0,1.16,0.843249684,1,0,0,0.583358121
EST,Estonia,Former SSR,Europe & Central Asia,2014,0.935942457,0.774002642,0,18910,20,11.375422,9,1,0,1.02,0.897369624,1,0,0,0.573582494
FIN,Finland,Europe + North America,Europe & Central Asia,2014,1.385104113,1.044002642,0,48990,24,50.944645,10,1,0,2,0.888399254,1,0,0,0.492720697
FRA,France,Europe + North America,Europe & Central Asia,2014,1.230149546,0.894002642,0.020896873,43320,20,76.026915,9,1,0,1.4,0.920762362,1,0,0,0.579165542
GAB,Gabon,Africa,Sub-Saharan Africa,2014,0.297773587,0.164002642,26.41985071,9320,18,34.062798,3,0,0,-0.64,0.404210363,0,1,1,
GBR,United Kingdom,Europe + North America,Europe & Central Asia,2014,1.353310531,1.254002642,0.252810625,43940,17.5,86.071588,10,1,0,1.63,0.895689447,1,0,0,0.574387632
GEO,Georgia,Former SSR,Europe & Central Asia,2014,0.453516594,0.504002642,0.102269972,4500,18,,7,1,0,0.49,0.716613165,1,0,0,0.259180613
GHA,Ghana,Africa,Sub-Saharan Africa,2014,0.15491608,0.294002642,3.477839943,1920,17.5,70.156577,8,1,0,-0.28,0.691154632,1,1,1,0.031221909
GIN,Guinea,Africa,Sub-Saharan Africa,2014,0.642897917,0.714002642,0,740,18,35.090181,4,0,0,-1.23,0.459050274,0,0,0,
GMB,Gambia,Africa,Sub-Saharan Africa,2014,0.645655059,0.554002642,0,560,15,69.404053,-5,0,0,-0.67,0.257474374,0,0,0,
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,2014,0.637970087,,0,640,0,57.432824,6,1,0,-1.58,0.409753753,0,0,0,
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,2014,0.183232653,,26.49799142,13220,15,12.559933,-6,0,1,-1.5,0.203257031,0,1,1,
GRC,Greece,Europe + North America,Europe & Central Asia,2014,1.448749854,0.894002642,0.014618006,22180,23,181.42569,10,1,0,0.4,0.850243597,1,0,0,0.59004373
GTM,Guatemala,Latin America & Caribbean,Latin America & Caribbean,2014,0.268350152,0.164002642,0.301883779,3460,12,24.676312,8,1,0,-0.73,0.604822285,1,0,0,0.110279043
GUY,Guyana,Latin America & Caribbean,Latin America & Caribbean,2014,0.312935993,0.374002642,0,4040,16,51.877909,6,1,0,-0.23,0.612548485,1,0,0,
HRV,Croatia,Europe + North America,Europe & Central Asia,2014,1.059206803,0.854002642,0.673713527,13290,25,82.308479,9,1,0,0.69,0.814170098,1,0,0,0.384816023
HTI,Haiti,Latin America & Caribbean,Latin America & Caribbean,2014,0.399598889,0.204002642,0,830,,26.307013,0,0,0,-2.04,0.486543054,0,0,0,0.008152425
HUN,Hungary,Europe + North America,Europe & Central Asia,2014,0.999079069,0.914002642,0.277150261,13540,27,75.143086,10,1,0,0.53,0.711216588,1,0,0,0.365277625
IDN,Indonesia,Asia + Pacific,East Asia & Pacific,2014,-0.239229686,-0.115997358,1.471318755,3620,10,24.681673,9,1,0,-0.04,0.646228119,1,1,1,0.083224564
IND,India,Asia + Pacific,South Asia,2014,0.366679905,0.174002642,0.447566349,1560,12.5,46.025387,9,1,0,-0.21,0.661843371,1,1,0,0.020461496
IRL,Ireland,Europe + North America,Europe & Central Asia,2014,1.278653655,1.104002642,0.009927277,46450,23,108.37964,10,1,0,1.6,0.870746301,1,0,0,0.485428555
IRN,Iran,Middle East,Middle East & North Africa,2014,-0.580013448,-0.548997358,10.2016889,6550,6,11.822378,-7,0,1,-0.43,0.218935997,0,1,1,0.172463308
IRQ,Iraq,Middle East,Middle East & North Africa,2014,-0.419714105,,22.3659111,6840,0,32.862483,6,1,0,-1.11,0.444603559,0,1,1,0.106648995
ISR,Israel,Middle East,Middle East & North Africa,2014,1.297867494,1.344002642,0.420075701,36030,18,64.896215,6,1,0,1.21,0.70669199,1,0,0,0.345314459
ITA,Italy,Europe + North America,Europe & Central Asia,2014,1.535091137,1.274002642,0.22397809,34760,22,126.35605,10,1,0,0.37,0.864083114,1,0,0,0.690024567
JAM,Jamaica,Latin America & Caribbean,Latin America & Caribbean,2014,0.29732591,0.324002642,0,4870,16.5,142.07854,9,1,0,0.14,0.819238911,1,0,0,0.063996973
JOR,Jordan,Middle East,Middle East & North Africa,2014,0.357032524,0.084002642,0.032662315,3830,16,89.049399,-3,0,0,0.12,0.25937637,0,1,0,0.119954498
JPN,Japan,Asia + Pacific,East Asia & Pacific,2014,0.871754378,0.364002642,0.026775879,43950,8,194.75547,10,1,0,1.81,0.831137183,1,1,0,0.606461548
KAZ,Kazakhstan,Former SSR,Europe & Central Asia,2014,0.027457249,-0.095997358,14.89801996,12090,12,14.377366,-6,0,1,-0.04,0.256912482,0,1,0,0.262258518
KEN,Kenya,Africa,Sub-Saharan Africa,2014,0.503888514,0.334002642,0,1240,16,48.561717,9,1,0,-0.33,0.505067095,1,1,0,0.027473245
KGZ,Kyrgyzstan,Former SSR,Europe & Central Asia,2014,-0.005371605,0.024002642,0.210545573,1250,12,52.252564,7,1,0,-0.87,0.450049218,0,0,0,0.214206152
KHM,Cambodia,Asia + Pacific,East Asia & Pacific,2014,0.49921055,0.504002642,0,1020,10,,2,0,0,-0.69,0.306922078,0,0,0,
KOR,South Korea,Asia + Pacific,East Asia & Pacific,2014,0.972455374,0.634002642,0.002934811,26800,10,37.313866,8,1,0,1.16,0.714523906,1,0,0,0.396439892
KWT,Kuwait,Middle East,Middle East & North Africa,2014,-0.598661904,-0.545997358,34.23173242,51010,0,3.4291891,-7,0,1,-0.15,0.306133674,0,1,1,0.485512912
LAO,Laos,Asia + Pacific,East Asia & Pacific,2014,0.630324489,0.344002642,0,1820,10,56.808016,-7,0,1,-0.42,0.091977101,0,0,0,
LBN,Lebanon,Middle East,Middle East & North Africa,2014,0.301397669,-0.005997358,0,7500,10,137.17546,6,1,0,-0.38,0.539953615,0,0,0,0.103793907
LBR,Liberia,Africa,Sub-Saharan Africa,2014,0.356957748,0.204002642,0,630,,21.673014,6,1,0,-1.34,0.632690312,1,1,0,0.014221798
LBY,Libya,Middle East,Middle East & North Africa,2014,-0.695247466,,17.20102375,7610,0,80.357941,0,0,0,-1.69,0.285816231,0,1,1,0.410245964
LKA,Sri Lanka,Asia + Pacific,South Asia,2014,0.449172714,0.164002642,0,3640,12,72.216596,3,0,0,0.05,0.485342394,0,0,0,0.063239965
LSO,Lesotho,Africa,Sub-Saharan Africa,2014,0.38068071,0.334002642,0,1450,14,38.317202,8,1,0,-0.56,0.7058467,1,0,0,
LTU,Lithuania,Former SSR,Europe & Central Asia,2014,0.993794784,0.764002642,0.087492377,16020,21,37.63215,10,1,0,0.98,0.828803413,1,0,0,0.447420122
LUX,Luxembourg,Europe + North America,Europe & Central Asia,2014,0.96801911,0.654002642,0,76470,15,14.966125,10,1,0,1.65,0.862661648,1,0,0,0.742379822
LVA,Latvia,Former SSR,Europe & Central Asia,2014,0.951945926,0.754002642,0,15270,21,38.158432,8,1,0,0.96,0.863982854,1,0,0,0.374163274
MAR,Morocco,Middle East,Middle East & North Africa,2014,0.757099368,0.374002642,0.012714427,3060,20,63.339205,-4,0,0,-0.07,0.318941543,0,1,0,0.099349717
MDA,Moldova,Former SSR,Europe & Central Asia,2014,0.520790584,0.424002642,0,3010,20,20.917956,9,1,0,-0.42,0.642445854,1,0,0,0.195141319
MDG,Madagascar,Africa,Sub-Saharan Africa,2014,0.710498542,0.354002642,0,440,20,34.651185,6,1,0,-1.3,0.472145615,0,0,0,0.026706359
MEX,Mexico,Latin America & Caribbean,Latin America & Caribbean,2014,0.222516585,0.284002642,4.409775708,10510,16,32.637716,8,1,0,0.2,0.650735218,1,1,1,0.297070849
MKD,Macedonia,Europe + North America,Europe & Central Asia,2014,0.909033581,0.534002642,0,5200,18,37.915641,9,1,0,0.13,0.468038712,1,0,0,0.198289035
MLI,Mali,Africa,Sub-Saharan Africa,2014,0.778253137,0.554002642,0,810,18,27.357859,5,0,0,-1.1,0.55456791,0,0,0,0.011337989
MLT,Malta,Europe + North America,Middle East & North Africa,2014,1.154351475,0.964002642,0,24190,18,60.579565,,,,1.03,,1,0,0,0.72487447
MMR,Myanmar,Asia + Pacific,East Asia & Pacific,2014,-0.075815762,0.194002642,1.142575962,1230,5,29.911053,-3,0,0,-1.28,0.361775728,0,0,0,
MNE,Montenegro,Europe + North America,Europe & Central Asia,2014,1.019165441,0.754002642,0,7320,19,56.187213,9,1,0,0.27,0.50614381,1,,,
MNG,Mongolia,Asia + Pacific,East Asia & Pacific,2014,0.060487359,0.224002642,2.147442656,4210,10,56.821412,10,1,0,-0.44,0.744810832,1,0,0,
MOZ,Mozambique,Africa,Sub-Saharan Africa,2014,0.742314784,0.464002642,1.653461165,650,17,62.370944,5,0,0,-0.72,0.463719369,0,1,0,0.014342146
MRT,Mauritania,Africa,Sub-Saharan Africa,2014,0.661753712,0.614002642,1.381259629,1390,16,80.361131,-2,0,0,-0.99,0.431683085,0,1,0,0.010175797
MUS,Mauritius,Africa,Sub-Saharan Africa,2014,0.909355524,0.644002642,0,10820,15,,10,1,0,1.04,0.789984645,1,0,0,0.175266905
MWI,Malawi,Africa,Sub-Saharan Africa,2014,1.180154476,1.064002642,0,370,16.5,48.193638,6,1,0,-0.63,0.56593629,1,0,0,0.008348916
MYS,Malaysia,Asia + Pacific,East Asia & Pacific,2014,-0.146441498,-0.085997358,4.18968895,11140,10,52.675896,5,0,0,1.12,0.332197275,0,1,1,0.421508216
NAM,Namibia,Africa,Sub-Saharan Africa,2014,0.357919945,0.384002642,0,5990,15,25.19579,6,1,0,0.11,0.657506569,0,1,0,
NER,Niger,Africa,Sub-Saharan Africa,2014,0.304021275,0.294002642,3.947290889,410,19,31.976439,6,1,0,-0.7,0.631584954,1,0,0,
NGA,Nigeria,Africa,Sub-Saharan Africa,2014,-0.187267587,0.104002642,8.8457272,2990,5,11.235704,4,0,0,-1.19,0.539387578,0,1,0,0.020350908
NIC,Nicaragua,Latin America & Caribbean,Latin America & Caribbean,2014,0.413428303,0.304002642,0,1850,15,28.689616,9,1,0,-0.84,0.364569002,1,0,0,0.07635038
NLD,Netherlands,Europe + North America,Europe & Central Asia,2014,1.515591396,1.064002642,1.362081864,51980,21,,10,1,0,1.82,0.86707344,1,1,0,0.547761377
NOR,Norway,Europe + North America,Europe & Central Asia,2014,1.734046885,1.374002642,21.89877323,104540,25,15.42754,10,1,0,1.83,0.899059348,1,1,0,0.608109581
NPL,Nepal,Asia + Pacific,South Asia,2014,0.546368838,0.304002642,0,770,13,28.174933,6,1,0,-0.85,0.595882569,1,0,0,
NZL,New Zealand,Asia + Pacific,East Asia & Pacific,2014,0.979327164,0.374002642,1.34631838,41650,15,34.234457,10,1,0,1.93,0.885970891,1,0,0,0.79384438
OMN,Oman,Middle East,Middle East & North Africa,2014,-0.511651072,-0.355997358,23.17427634,19170,0,4.9252141,-8,0,1,0.27,0.185236744,0,1,0,0.22844316
PAK,Pakistan,Asia + Pacific,South Asia,2014,0.282986843,0.274002642,1.00990405,1320,17,63.472044,7,1,0,-0.76,0.470269771,1,1,0,0.015467969
PAN,Panama,Latin America & Caribbean,Latin America & Caribbean,2014,0.278529202,0.114002642,0,11040,7,,9,1,0,0.26,0.785640319,1,0,0,0.155588564
PER,Peru,Latin America & Caribbean,Latin America & Caribbean,2014,0.463151898,0.434002642,1.201172449,6530,16,19.45343,9,1,0,-0.27,0.786694154,1,1,0,0.07743344
PHL,Philippines,Asia + Pacific,East Asia & Pacific,2014,0.405459587,0.084002642,0.191055505,3450,12,,8,1,0,0.19,0.542364873,1,1,0,0.035736622
PNG,Papua New Guinea,Asia + Pacific,East Asia & Pacific,2014,0.773874836,0.394002642,4.131714956,2970,10,27.070296,5,0,0,-0.61,0.443344462,1,1,0,
POL,Poland,Europe + North America,Europe & Central Asia,2014,0.914314234,0.654002642,0.168461281,13640,23,45.351339,10,1,0,0.83,0.869489805,1,1,0,0.616862135
PRT,Portugal,Europe + North America,Europe & Central Asia,2014,1.287166855,0.904002642,0,21260,23,131.17426,10,1,0,0.99,0.890863027,1,0,0,0.552635875
PRY,Paraguay,Latin America & Caribbean,Latin America & Caribbean,2014,0.403186757,0.424002642,0,5780,10,12.432646,9,1,0,-0.92,0.629827845,1,0,0,0.096976662
QAT,Qatar,Middle East,Middle East & North Africa,2014,-0.576377336,-0.325997358,26.54410672,79900,0,24.911957,-10,0,1,0.94,0.087834321,0,1,1,0.39037117
ROU,Romania,Europe + North America,Europe & Central Asia,2014,1.028233202,0.974002642,1.149910704,9610,24,38.345198,9,1,0,-0.03,0.691619688,1,0,0,0.286554122
RUS,Russia,Former SSR,Europe & Central Asia,2014,0.12349353,0.014002642,12.36111586,14650,18,13.756873,4,0,0,-0.11,0.296344076,0,1,0,0.351134177
RWA,Rwanda,Africa,Sub-Saharan Africa,2014,0.714021105,0.674002642,0,720,18,29.130652,-3,0,0,-0.03,0.294774568,0,0,0,
SAU,Saudi Arabia,Middle East,Middle East & North Africa,2014,-0.651941275,-0.665997358,22.44408487,25550,0,1.5618864,-10,0,1,0.21,0.025098405,0,1,1,0.201830747
SDN,Sudan,Africa,Sub-Saharan Africa,2014,-0.153964742,-0.185997358,5.602437911,1820,17,83.221834,-4,0,0,-1.53,0.249817476,0,1,1,0.002870109
SEN,Senegal,Africa,Sub-Saharan Africa,2014,1.035000693,0.774002642,0,1380,18,42.365709,7,1,0,-0.4,0.717405302,1,0,0,0.044445288
SGP,Singapore,Asia + Pacific,East Asia & Pacific,2014,1.290078319,0.424002642,0,56370,7,98.099818,-2,0,0,2.18,0.423880016,0,0,0,0.151195929
SLE,Sierra Leone,Africa,Sub-Saharan Africa,2014,0.208246043,0.304002642,0,700,15,34.965561,7,1,0,-1.24,0.583866569,1,0,0,
SLV,El Salvador,Latin America & Caribbean,Latin America & Caribbean,2014,0.268272922,0.284002642,0,3400,13,49.64265,8,1,0,-0.03,0.675033707,1,0,0,0.039395545
SRB,Serbia,Europe + North America,Europe & Central Asia,2014,0.953368848,0.924002642,0.660732085,6240,20,70.716519,8,1,0,0.09,0.52587827,1,,,0.280061527
SUR,Suriname,Latin America & Caribbean,Latin America & Caribbean,2014,0.631253325,0.604002642,6.113258092,9260,10,26.342599,5,0,0,-0.18,0.814117894,1,1,1,0.327144104
SVK,Slovakia,Europe + North America,Europe & Central Asia,2014,1.173810233,0.874002642,0.014487212,18240,20,57.118286,10,1,0,0.88,0.834857826,1,0,0,0.421138184
SVN,Slovenia,Europe + North America,Europe & Central Asia,2014,1.171925715,0.944002642,0.001015881,23530,20,69.161715,10,1,0,1.01,0.865398734,1,0,0,0.568870697
SWE,Sweden,Europe + North America,Europe & Central Asia,2014,1.344114859,1.084002642,0,61040,25,44.881265,10,1,0,1.8,0.916040953,1,0,0,0.534337997
SWZ,Swaziland,Africa,Sub-Saharan Africa,2014,0.324873397,0.424002642,0,4340,14,,-9,0,1,-0.56,0.149200342,0,0,0,
SYR,Syria,Middle East,Middle East & North Africa,2014,-0.017503611,-0.265997358,,,0,,-9,0,1,-1.4,0.145532466,0,1,1,0.343028025
TCD,Chad,Africa,Sub-Saharan Africa,2014,0.183232653,0.254002642,12.54508907,980,18,41.545109,-2,0,0,-1.5,0.290325335,0,1,0,
TGO,Togo,Africa,Sub-Saharan Africa,2014,0.536933647,0.554002642,0,640,18,60.447228,-2,0,0,-1.25,0.524212959,0,0,0,0.02605773
THA,Thailand,Asia + Pacific,East Asia & Pacific,2014,0.663294517,0.164002642,1.314173888,5760,7,29.890924,-3,0,0,0.34,0.191495485,0,1,0,0.2166025
TJK,Tajikistan,Former SSR,Europe & Central Asia,2014,0.275391912,0.444002642,0.035828167,1360,18,,-3,0,0,-0.78,0.207722322,0,0,0,
TLS,Timor-Leste,Asia + Pacific,East Asia & Pacific,2014,0.528004618,0.864002642,34.4284553,2960,,0.54531072,8,1,0,-1.18,0.658197696,1,1,0,
TTO,Trinidad,Latin America & Caribbean,Latin America & Caribbean,2014,-0.383386482,,21.10093007,18470,15,23.836341,10,1,0,0.27,0.745974379,1,1,1,0.283335609
TUN,Tunisia,Middle East,Middle East & North Africa,2014,0.165688809,-0.055997358,1.975815182,4160,18,51.529035,7,1,0,-0.12,0.719592177,0,1,1,0.125641756
TUR,Turkey,Europe + North America,Europe & Central Asia,2014,1.501763613,1.164002642,0.097014685,12560,18,29.959725,3,0,0,0.37,0.468123428,1,0,0,0.18610184
TWN,Taiwan,Asia + Pacific,East Asia & Pacific,2014,0.331699772,,,,5,32.744076,10,1,0,1.37,0.775094893,1,0,0,
TZA,Tanzania,Africa,Sub-Saharan Africa,2014,0.543198501,0.464002642,0,970,18,,-1,0,0,-0.66,0.525703234,0,1,0,0.007405951
UGA,Uganda,Africa,Sub-Saharan Africa,2014,0.633430681,0.374002642,0,690,18,30.798421,-1,0,0,-0.5,0.350888346,0,1,0,0.012462022
UKR,Ukraine,Former SSR,Europe & Central Asia,2014,0.418742355,0.424002642,1.196714871,3560,20,69.369328,4,0,0,-0.41,0.44416723,1,0,0,0.202332804
URY,Uruguay,Latin America & Caribbean,Latin America & Caribbean,2014,1.029620231,0.984002642,0,15830,22,39.652392,10,1,0,0.48,0.909297048,1,1,0,0.263789857
USA,United States,Europe + North America,North America,2014,0.093799118,0.234002642,2.430753471,55850,0,86.077915,10,1,0,1.47,0.919985147,1,0,0,0.810420869
UZB,Uzbekistan,Former SSR,Europe & Central Asia,2014,0.253028612,1.194002642,5.525154526,2210,20,,-9,0,1,-0.63,0.175619466,0,1,0,
VEN,Venezuela,Latin America & Caribbean,Latin America & Caribbean,2014,-0.80052129,-0.727997358,17.24777295,13080,12,44.538799,4,0,0,-1.23,0.347245715,0,1,1,0.146446343
VNM,Viet Nam,Asia + Pacific,East Asia & Pacific,2014,0.352221579,0.174002642,2.414080891,1880,10,58.784982,-7,0,1,-0.07,0.230127252,0,1,1,0.022460983
YEM,Yemen,Middle East,Middle East & North Africa,2014,-0.141077219,-0.035997358,5.773447947,1460,5,48.722146,0,0,0,-1.41,0.31875913,0,1,1,0.036788218
ZAF,South Africa,Africa,Sub-Saharan Africa,2014,0.496561221,0.434002642,0.042479807,6750,14,46.984863,9,1,0,0.34,0.766039451,1,1,1,0.170846653
ZMB,Zambia,Africa,Sub-Saharan Africa,2014,0.917468998,0.854002642,0,1800,16,36.137416,7,1,0,-0.5,0.482168579,1,0,0,0.023376998
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2014,0.720095611,0.744002642,0,1260,15,49.603915,4,0,0,-1.21,0.32309426,0,0,0,0.066241343
