gdirank,country,genderdev,femalehumandevelopment,malehumandevelopment,femalelifeexpectancy,malelifeexpectancy,femaleexpectededucation,maleexpectededucation,femaleyearseducation,maleyearseducation,femaleincomepercapita,maleincomepercapita,giirank,genderinequality,maternalmortality,adolescentbirthrate,femaleperparliament,femalepersecondaryeducation,malepersecondaryeducation,femalelaborforceparticipation,malelaborforceparticipation,hdirank,hdi,lifeexpectancy,expectededucation,education,incomepercapita,incomerank
1,Norway,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140.0,72825.0,1,0.067,4.0,7.8,39.6,97.4,96.7,61.2,68.7,1,0.944,81.6,17.5,12.6,64992,5
2,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688.0,50914.0,2,0.11,6.0,12.1,30.5,94.3,94.6,58.8,71.8,2,0.935,82.4,20.2,13.0,42261,17
3,Switzerland,0.95,0.898,0.945,85.0,80.8,15.7,15.9,11.5,13.1,44132.0,69077.0,3,0.028,6.0,1.9,28.5,95.0,96.6,61.8,74.9,3,0.93,83.0,15.8,12.8,56431,6
4,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439.0,51727.0,4,0.048,5.0,5.1,38.0,95.5,96.6,58.7,66.4,4,0.923,80.2,18.7,12.7,44025,11
5,Netherlands,0.947,0.893,0.943,83.3,79.7,18.0,17.9,11.6,12.2,29500.0,61641.0,5,0.062,6.0,6.2,36.9,87.7,90.5,58.5,70.6,5,0.922,81.6,17.9,11.9,45435,9
6,Germany,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886.0,53290.0,6,0.041,7.0,3.8,36.9,96.3,97.0,53.6,66.4,6,0.916,80.9,16.5,13.1,43919,11
6,Ireland,0.973,0.901,0.926,83.0,78.8,18.5,18.7,12.3,12.0,30104.0,49166.0,6,0.113,9.0,8.2,19.9,80.5,78.6,53.1,68.1,6,0.916,80.9,18.6,12.2,39568,16
8,United States,0.995,0.911,0.916,81.4,76.7,17.2,15.7,13.0,12.9,43054.0,63158.0,8,0.28,28.0,31.0,19.4,95.1,94.8,56.3,68.9,8,0.915,79.1,16.5,12.9,52947,3
9,Canada,0.982,0.904,0.921,84.0,80.0,16.3,15.5,13.1,13.0,33587.0,50853.0,9,0.129,11.0,14.5,28.2,100.0,100.0,61.6,71.0,9,0.913,82.0,15.9,13.0,42155,11
9,New Zealand,0.961,0.894,0.93,83.6,80.0,20.0,18.3,12.5,12.6,24309.0,41372.0,9,0.157,8.0,25.3,31.4,95.0,95.3,62.0,73.8,9,0.913,81.8,19.2,12.5,32689,23
11,Singapore,0.985,0.898,0.912,86.0,79.9,15.5,15.3,10.1,10.9,59994.0,93699.0,11,0.088,6.0,6.0,25.3,74.1,81.0,58.8,77.2,11,0.912,83.0,15.4,10.6,76628,-7
12,"Hong Kong, China (SAR)",0.958,0.892,0.931,86.8,81.2,15.7,15.5,10.9,11.9,38060.0,72052.0,12,,,3.3,,72.2,79.2,51.3,67.8,12,0.91,84.0,15.6,11.2,53959,-2
13,Liechtenstein,,,,,,13.8,16.1,,,,,13,,,,20.0,,,,,13,0.908,80.0,15.0,11.8,79851,-10
14,Sweden,0.999,0.906,0.906,83.9,80.4,16.6,15.1,12.2,12.0,40222.0,51084.0,14,0.055,4.0,6.5,43.6,86.5,87.3,60.3,67.9,14,0.907,82.2,15.8,12.1,45636,-1
