gdirank,country,genderdev,femalehumandevelopment,malehumandevelopment,femalelifeexpectancy,malelifeexpectancy,femaleexpectededucation,maleexpectededucation,femaleyearseducation,maleyearseducation,femaleincomepercapita,maleincomepercapita,giirank,genderinequality,maternalmortality,adolescentbirthrate,femaleperparliament,femalepersecondaryeducation,malepersecondaryeducation,femalelaborforceparticipation,malelaborforceparticipation,hdirank,hdi,lifeexpectancy,expectededucation,education,incomepercapita,incomerank
14,United Kingdom,0.965,0.888,0.92,82.6,78.7,16.6,15.8,12.9,13.2,27259.0,51628.0,14,0.177,8.0,25.8,23.5,99.8,99.9,55.7,68.7,14,0.907,80.7,16.2,13.1,39267,9
16,Iceland,0.975,0.886,0.909,84.0,81.0,20.1,17.9,10.8,10.4,28792.0,41486.0,16,0.087,4.0,11.5,41.3,91.0,91.6,70.5,77.4,16,0.899,82.6,19.0,10.6,35182,12
17,Korea (Republic of),0.93,0.861,0.926,85.0,78.5,16.0,17.7,11.2,12.7,21896.0,46018.0,17,0.125,27.0,2.2,16.3,77.0,89.1,50.1,72.1,17,0.898,81.9,16.9,11.9,33890,13
18,Israel,0.971,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451.0,39064.0,18,0.101,2.0,7.8,22.5,84.4,87.3,57.9,69.1,18,0.894,82.4,16.0,12.5,30676,16
19,Luxembourg,0.971,0.877,0.903,83.9,79.3,14.0,13.7,11.3,12.1,47723.0,69800.0,19,0.1,11.0,8.3,28.3,100.0,100.0,50.7,64.6,19,0.892,81.7,13.9,11.7,58711,-11
20,Japan,0.961,0.87,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975.0,49541.0,20,0.133,6.0,5.4,11.6,87.0,85.8,48.8,70.4,20,0.891,83.5,15.3,11.5,36927,7
21,Belgium,0.975,0.872,0.895,83.2,78.3,16.7,16.0,10.6,11.1,31879.0,50845.0,21,0.063,6.0,6.7,42.4,77.5,82.9,47.5,59.3,21,0.89,80.8,16.3,11.3,41187,0
22,France,0.987,0.881,0.893,85.1,79.2,16.4,15.6,11.0,11.3,31073.0,45497.0,22,0.088,12.0,5.7,25.7,78.0,83.2,50.7,61.6,22,0.888,82.2,16.0,11.1,38056,4
23,Austria,0.943,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598.0,58826.0,23,0.053,4.0,4.1,30.3,100.0,100.0,54.6,67.7,23,0.885,81.4,15.7,10.8,43869,-5
24,Finland,0.996,0.879,0.882,83.6,78.0,17.7,16.5,10.2,10.2,31644.0,45994.0,24,0.075,4.0,9.2,42.5,100.0,100.0,55.7,64.0,24,0.883,80.8,17.1,10.3,38695,0
25,Slovenia,0.996,0.877,0.881,83.4,77.3,17.7,16.0,11.8,12.0,22180.0,33593.0,25,0.016,7.0,0.6,27.7,95.8,98.0,52.3,63.2,25,0.88,80.4,16.8,11.9,27852,12
26,Spain,0.975,0.863,0.885,85.3,79.8,17.7,17.0,9.4,9.8,24059.0,40221.0,26,0.095,4.0,10.6,38.0,66.8,73.1,52.5,65.8,26,0.876,82.6,17.3,9.6,32045,7
27,Italy,0.964,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526.0,44148.0,27,0.068,4.0,4.0,30.1,71.2,80.5,39.6,59.5,27,0.873,83.1,16.0,10.1,33030,4
28,Czech Republic,0.98,0.859,0.877,81.5,75.7,16.9,15.8,12.1,12.5,19929.0,33604.0,28,0.091,5.0,4.9,18.9,99.9,99.7,51.1,68.3,28,0.87,78.6,16.4,12.3,26660,10
29,Greece,0.961,0.844,0.879,83.8,78.0,17.7,17.6,9.8,10.5,17288.0,31952.0,29,0.146,5.0,11.9,21.0,59.5,67.0,44.2,62.5,29,0.865,80.9,17.6,10.3,24524,14
30,Estonia,1.03,0.872,0.847,81.3,72.0,17.4,15.6,12.7,12.2,20854.0,30254.0,30,0.164,11.0,16.8,19.8,100.0,100.0,56.2,68.9,30,0.861,76.8,16.5,12.5,25214,12
31,Brunei Darussalam,0.977,0.84,0.86,80.7,77.0,14.9,14.2,8.5,9.0,54228.0,90437.0,31,,27.0,23.0,,63.9,67.8,52.6,75.3,31,0.856,78.8,14.5,8.8,72570,-26
32,Cyprus,0.971,0.836,0.861,82.4,78.0,14.2,13.8,11.4,11.8,22613.0,34400.0,32,0.124,10.0,5.5,12.5,76.0,81.7,56.0,71.1,32,0.85,80.2,14.0,11.6,28633,3
32,Qatar,0.998,0.853,0.854,79.9,77.3,14.0,13.9,10.4,8.8,55123.0,143979.0,32,0.524,6.0,9.5,0.0,66.7,59.0,50.8,95.5,32,0.85,78.2,13.8,9.1,123124,-31
34,Andorra,,,,,,,,,,,,34,,,,50.0,49.5,49.3,,,34,0.845,81.3,13.5,9.6,43978,-18
35,Slovakia,0.999,0.841,0.842,79.9,72.5,15.7,14.5,12.3,12.2,19903.0,32122.0,35,0.164,7.0,15.9,18.7,99.1,99.5,51.1,68.6,35,0.844,76.3,15.1,12.2,25845,5
36,Poland,1.007,0.844,0.839,81.4,73.4,16.3,14.7,11.7,11.9,18423.0,28271.0,36,0.138,3.0,12.2,22.1,79.4,85.5,48.9,64.9,36,0.843,77.4,15.5,11.8,23177,10
37,Lithuania,1.03,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955.0,28656.0,37,0.125,11.0,10.6,23.4,89.1,94.3,55.8,67.3,37,0.839,73.3,16.4,12.4,24500,7
37,Malta,0.937,0.806,0.861,82.2,78.8,14.8,14.0,9.9,10.8,16435.0,39432.0,37,0.227,9.0,18.2,13.0,68.6,78.2,37.9,66.3,37,0.839,80.6,14.4,10.3,27930,-1
39,Saudi Arabia,0.901,0.778,0.864,75.7,73.0,16.6,16.1,7.8,9.3,20094.0,77044.0,39,0.284,16.0,10.2,19.9,60.5,70.3,20.2,78.3,39,0.837,74.3,16.3,8.7,52821,-27
40,Argentina,0.982,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202.0,30237.0,40,0.376,69.0,54.4,36.8,56.3,57.6,47.5,75.0,40,0.836,76.3,17.9,9.8,22050,11
41,United Arab Emirates,0.954,0.796,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391.0,77300.0,41,0.232,8.0,27.6,17.5,73.1,61.2,46.5,92.0,41,0.835,77.0,13.3,9.5,60868,-34
42,Chile,0.967,0.815,0.843,84.5,78.6,15.5,15.0,9.7,9.9,14732.0,27992.0,42,0.338,22.0,55.3,15.8,73.3,76.4,49.2,74.8,42,0.832,81.7,15.2,9.8,21290,11
43,Portugal,0.985,0.823,0.836,83.8,77.9,16.5,16.1,8.1,8.4,21259.0,30543.0,43,0.111,8.0,12.6,31.3,47.7,48.2,54.9,66.2,43,0.83,80.9,16.3,8.2,25757,-2
44,Hungary,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443.0,28960.0,44,0.209,14.0,12.1,10.1,97.9,98.7,44.8,60.0,44,0.828,75.2,15.4,11.6,22916,3
45,Bahrain,0.94,0.789,0.839,77.6,75.8,15.1,13.7,9.1,9.6,20038.0,49890.0,45,0.265,22.0,13.8,15.0,56.7,51.4,39.2,86.9,45,0.824,76.6,14.4,9.4,38599,-20
46,Latvia,1.029,0.829,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437.0,26845.0,46,0.167,13.0,13.5,18.0,98.9,99.0,54.9,67.6,46,0.819,74.2,15.2,11.5,22281,4
47,Croatia,0.987,0.812,0.823,80.6,74.0,15.4,14.2,10.5,11.6,16200.0,22853.0,47,0.149,13.0,12.7,25.8,85.0,93.6,44.7,58.4,47,0.818,77.3,14.8,11.0,19409,11
48,Kuwait,0.972,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292.0,111988.0,48,0.387,14.0,14.5,1.5,55.6,56.3,43.6,83.1,48,0.816,74.4,14.7,7.2,83961,-46
49,Montenegro,0.954,0.782,0.819,78.4,74.1,15.5,14.8,10.5,11.8,11106.0,18094.0,49,0.171,7.0,15.2,17.3,84.2,94.7,43.0,57.3,49,0.802,76.2,15.2,11.2,14558,27
50,Belarus,1.021,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922.0,21010.0,50,0.151,1.0,20.6,30.1,87.0,92.2,50.1,63.1,50,0.798,71.3,15.7,12.0,16676,14
50,Russian Federation,1.019,0.804,0.789,75.8,64.4,15.1,14.3,11.9,12.0,17269.0,28287.0,50,0.276,24.0,25.7,14.5,89.6,92.5,57.1,71.7,50,0.798,70.1,14.7,12.0,22352,-1
52,Oman,0.909,0.741,0.815,79.2,75.1,13.9,13.5,7.0,8.5,14709.0,46400.0,52,0.275,11.0,10.6,9.6,47.2,57.1,29.0,82.6,52,0.793,76.8,13.6,8.0,34858,-23
52,Romania,0.989,0.787,0.796,78.3,71.2,14.6,13.8,10.3,11.1,15250.0,21117.0,52,0.333,33.0,31.0,12.0,86.1,92.0,48.7,64.9,52,0.793,74.7,14.2,10.8,18108,10
52,Uruguay,1.018,0.797,0.783,80.6,73.5,16.6,14.4,8.7,8.2,14721.0,24166.0,52,0.313,14.0,58.3,11.5,54.4,50.3,55.6,76.8,52,0.793,77.2,15.5,8.5,19283,7
55,Bahamas,,,,78.3,72.3,,,11.1,10.7,17868.0,24957.0,55,0.298,37.0,28.5,16.7,91.2,87.6,69.3,79.3,55,0.79,75.4,12.6,10.9,21336,-3
56,Kazakhstan,1.002,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408.0,26746.0,56,0.267,26.0,29.9,20.1,95.3,98.8,67.7,77.9,56,0.788,69.4,15.0,11.4,20867,-1
57,Barbados,1.018,0.791,0.777,78.0,73.2,17.2,13.8,10.6,10.2,10245.0,14739.0,57,0.357,52.0,48.4,19.6,89.5,87.7,65.9,76.6,57,0.785,75.6,15.4,10.5,12488,27
58,Antigua and Barbuda,,,,78.5,73.5,14.6,13.3,,,,,58,,,49.3,25.7,,,,,58,0.783,76.1,14.0,9.2,20070,-1
59,Bulgaria,0.991,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448.0,18926.0,59,0.212,5.0,35.9,20.4,93.0,95.7,47.9,59.0,59,0.782,74.2,14.4,10.6,15596,13
60,Palau,,,,,,13.9,13.5,,,,,60,,,,10.3,,,,,60,0.78,72.7,13.7,12.3,13496,18
60,Panama,0.996,0.776,0.779,80.7,74.6,13.8,12.8,9.6,9.1,13699.0,22597.0,60,0.454,85.0,78.5,19.3,54.0,49.9,49.0,81.8,60,0.78,77.6,13.3,9.3,18192,1
62,Malaysia,0.947,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635.0,30320.0,62,0.209,29.0,5.7,14.2,65.1,71.3,44.4,75.5,62,0.779,74.7,12.7,10.0,22762,-14
63,Mauritius,0.95,0.752,0.792,78.0,70.9,15.9,15.2,8.0,9.1,10541.0,24581.0,63,0.419,73.0,30.9,11.6,49.4,58.0,43.6,74.2,63,0.777,74.4,15.6,8.5,17470,0
64,Seychelles,,,,78.1,68.9,13.3,13.4,,,,,64,,,56.3,43.8,66.9,66.6,,,64,0.772,73.1,13.4,9.4,23300,-19
64,Trinidad and Tobago,0.985,0.763,0.774,74.0,67.0,12.5,12.1,10.7,10.9,19669.0,32656.0,64,0.371,84.0,34.8,24.7,59.7,60.9,53.0,75.5,64,0.772,70.4,12.3,10.9,26090,-25
66,Serbia,0.966,0.757,0.784,77.7,72.1,14.9,13.9,9.8,11.2,9697.0,14799.0,66,0.176,16.0,16.9,34.0,58.4,73.6,44.5,60.9,66,0.771,74.9,14.4,10.5,12190,20
67,Cuba,0.954,0.747,0.783,81.5,77.4,14.4,13.3,11.4,11.6,4912.0,9665.0,67,0.356,80.0,43.1,48.9,74.3,78.8,43.4,70.0,67,0.769,79.4,13.8,11.5,7301,47
67,Lebanon,0.899,0.718,0.8,81.3,77.6,13.6,13.9,7.6,8.2,7334.0,25391.0,67,0.385,16.0,12.0,3.1,53.0,55.4,23.3,70.9,67,0.769,79.3,13.8,7.9,16509,-1
69,Costa Rica,0.974,0.753,0.774,81.9,77.0,14.3,13.4,8.4,8.3,9680.0,17033.0,69,0.349,38.0,60.8,33.3,50.7,50.5,46.6,79.0,69,0.766,79.4,13.9,8.4,13413,10
69,Iran (Islamic Republic of),0.858,0.689,0.804,76.5,74.3,15.0,15.2,7.7,8.6,4828.0,25924.0,69,0.515,23.0,31.6,3.1,62.2,67.6,16.6,73.6,69,0.766,75.4,15.1,8.2,15440,4
71,Venezuela (Bolivarian Republic of),1.03,0.772,0.749,78.5,70.2,15.3,13.1,9.2,8.6,12458.0,19840.0,71,0.476,110.0,83.2,17.0,56.6,50.8,51.1,79.2,71,0.762,74.2,14.2,8.9,16159,-2
72,Turkey,0.902,0.716,0.793,78.5,72.0,14.0,15.1,6.7,8.5,10024.0,27645.0,72,0.359,20.0,30.9,14.4,39.0,60.0,29.4,70.8,72,0.761,75.3,14.5,7.6,18677,-12
73,Sri Lanka,0.948,0.73,0.769,78.2,71.5,14.2,13.3,10.7,10.9,5452.0,14307.0,73,0.37,29.0,16.9,5.8,72.7,76.4,35.1,76.3,73,0.757,74.9,13.7,10.8,9779,29
74,Mexico,0.943,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233.0,22252.0,74,0.373,49.0,63.4,37.1,55.7,60.6,45.1,79.9,74,0.756,76.8,13.1,8.5,16056,-4
75,Brazil,0.997,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393.0,19084.0,75,0.457,69.0,70.8,9.6,54.6,52.4,59.4,80.8,75,0.755,74.5,15.2,7.7,15175,-1
76,Georgia,0.962,0.736,0.765,78.4,71.2,14.0,13.6,12.0,12.3,4887.0,9718.0,76,0.382,41.0,46.8,11.3,89.7,92.7,56.5,75.1,76,0.754,74.9,13.8,12.1,7164,40
77,Saint Kitts and Nevis,,,,,,13.4,12.4,,,,,77,,,,6.7,,,,,77,0.752,73.8,12.9,8.4,20805,-21
78,Azerbaijan,0.942,0.721,0.766,74.0,67.7,11.8,12.0,10.5,11.2,10120.0,22814.0,78,0.303,26.0,40.0,15.6,93.7,97.4,62.9,69.6,78,0.751,70.8,11.9,11.2,16428,-11
79,Grenada,,,,75.9,71.0,16.3,15.3,,,,,79,,23.0,35.4,25.0,,,,,79,0.75,73.4,15.8,8.6,10939,14
80,Jordan,0.86,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587.0,18831.0,80,0.473,50.0,26.5,11.6,69.5,78.5,15.6,66.6,80,0.748,74.0,13.5,9.9,11365,11
81,The former Yugoslav Republic of Macedonia,0.949,0.726,0.765,77.7,73.1,13.5,13.2,8.7,9.8,8796.0,14754.0,81,0.164,7.0,18.3,33.3,40.2,55.6,43.1,67.5,81,0.747,75.4,13.4,9.3,11780,9
81,Ukraine,1.003,0.747,0.745,75.9,66.0,15.4,14.9,11.3,11.4,6518.0,10120.0,81,0.286,23.0,25.7,11.8,91.7,95.9,53.2,66.9,81,0.747,71.0,15.1,11.3,8178,25
83,Algeria,0.837,0.637,0.761,77.2,72.5,14.2,13.8,4.8,7.8,3898.0,22009.0,83,0.413,89.0,10.0,25.7,26.7,31.0,15.2,72.2,83,0.736,74.8,14.0,7.6,13054,-1
84,Peru,0.947,0.712,0.752,77.2,71.9,13.1,13.0,8.5,9.6,8040.0,13977.0,84,0.406,89.0,50.7,22.3,56.3,66.1,68.2,84.4,84,0.734,74.6,13.1,9.0,11015,8
85,Albania,0.948,0.711,0.75,80.4,75.4,11.9,11.8,8.9,9.6,7217.0,12655.0,85,0.217,21.0,15.3,20.7,81.8,87.9,44.9,65.5,85,0.733,77.8,11.8,9.3,9943,14
85,Armenia,1.008,0.734,0.728,78.6,70.9,13.6,11.2,10.8,10.9,6042.0,10089.0,85,0.318,29.0,27.1,10.7,94.0,95.0,54.2,72.6,85,0.733,74.7,12.3,10.9,8124,22
85,Bosnia and Herzegovina,,,,79.0,74.0,,,6.6,8.6,6514.0,12912.0,85,0.201,8.0,15.1,19.3,44.9,69.8,34.1,57.3,85,0.733,76.5,13.6,8.3,9638,19
88,Ecuador,0.98,0.722,0.737,78.7,73.2,14.5,13.9,7.4,7.6,8487.0,12723.0,88,0.407,87.0,77.0,41.6,40.1,39.4,54.7,82.7,88,0.732,75.9,14.2,7.6,10605,7
89,Saint Lucia,0.991,0.725,0.731,77.8,72.4,13.0,12.1,9.4,9.3,8018.0,11576.0,89,,34.0,56.3,20.7,,,62.7,76.2,89,0.729,75.1,12.6,9.3,9765,14
90,China,0.943,0.705,0.747,77.3,74.3,13.2,12.9,6.9,8.2,10128.0,14795.0,90,0.191,32.0,8.6,23.6,58.7,71.9,63.9,78.3,90,0.727,75.8,13.1,7.5,12547,-7
90,Fiji,0.941,0.699,0.743,73.2,67.2,16.0,15.5,9.8,10.0,4274.0,10592.0,90,0.418,59.0,42.8,14.0,64.2,64.5,37.5,72.0,90,0.727,70.0,15.7,9.9,7493,21
90,Mongolia,1.028,0.737,0.716,73.9,65.3,15.3,13.9,9.5,9.0,9029.0,12462.0,90,0.325,68.0,18.7,14.9,85.3,84.1,56.6,69.3,90,0.727,69.4,14.6,9.3,10729,4
93,Thailand,1.0,0.726,0.726,77.9,71.1,13.9,13.1,7.1,7.5,11820.0,14888.0,93,0.38,26.0,41.0,6.1,35.7,40.8,64.3,80.7,93,0.726,74.4,13.5,7.3,13323,-13
94,Dominica,,,,,,,,,,,,94,,,,21.9,29.7,23.2,,,94,0.724,77.8,12.7,7.9,9994,4
94,Libya,0.95,0.699,0.736,74.6,68.9,14.3,13.8,7.7,7.0,7427.0,22392.0,94,0.134,15.0,2.5,16.0,55.5,41.9,30.0,76.4,94,0.724,71.6,14.0,7.3,14911,-19
96,Tunisia,0.894,0.671,0.751,77.3,72.5,15.0,14.0,5.9,7.8,4748.0,16159.0,96,0.24,46.0,4.6,31.3,32.8,46.1,25.1,70.9,96,0.721,74.8,14.6,6.8,10404,1
97,Colombia,0.997,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785.0,14372.0,97,0.429,83.0,68.5,20.9,56.9,55.6,55.8,79.7,97,0.72,74.0,13.5,7.3,12040,-9
97,Saint Vincent and the Grenadines,,,,75.1,70.9,13.4,13.1,,,7283.0,12541.0,97,,45.0,54.5,13.0,,,55.7,78.0,97,0.72,72.9,13.4,8.6,9937,3
99,Jamaica,0.995,0.715,0.719,78.1,73.3,13.1,11.6,10.0,9.4,5820.0,9059.0,99,0.43,80.0,70.1,16.7,74.0,70.2,56.1,70.9,99,0.719,75.7,12.4,9.7,7415,13
100,Tonga,0.967,0.704,0.727,75.8,69.9,15.0,14.4,10.7,10.8,3796.0,6336.0,100,0.666,120.0,18.1,0.0,87.5,88.3,53.5,74.6,100,0.717,72.8,14.7,10.7,5069,32
101,Belize,0.958,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034.0,10198.0,101,0.426,45.0,71.4,13.3,76.4,75.8,49.2,82.3,101,0.715,70.0,13.6,10.5,7614,9
101,Dominican Republic,0.995,0.71,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860.0,14903.0,101,0.477,100.0,99.6,19.1,55.6,53.1,51.3,78.6,101,0.715,73.5,13.1,7.6,11883,-12
103,Suriname,0.975,0.702,0.72,74.4,68.0,13.6,11.8,7.3,8.0,10241.0,20970.0,103,0.463,130.0,35.2,11.8,44.6,47.1,40.5,68.8,103,0.714,71.1,12.7,7.7,15617,-32
104,Maldives,0.937,0.678,0.723,77.8,75.8,12.8,12.5,5.7,6.0,8531.0,16073.0,104,0.243,31.0,4.2,5.9,27.3,32.7,56.2,77.5,104,0.706,76.8,13.0,5.8,12328,-19
105,Samoa,0.956,0.681,0.713,76.8,70.4,13.2,12.5,10.3,10.3,3416.0,7124.0,105,0.457,58.0,28.3,6.1,64.3,60.0,23.5,58.4,105,0.702,73.4,12.9,10.3,5327,24
106,Botswana,0.982,0.691,0.704,66.8,62.1,12.6,12.4,8.7,9.1,15179.0,18096.0,106,0.48,170.0,44.2,9.5,73.6,77.9,71.9,81.6,106,0.698,64.5,12.5,8.9,16646,-41
107,Moldova (Republic of),1.003,0.694,0.692,75.7,67.4,12.2,11.6,11.1,11.3,4599.0,5915.0,107,0.248,21.0,29.3,20.8,93.6,96.6,37.6,44.2,107,0.693,71.6,11.9,11.2,5223,23
108,Egypt,0.868,0.633,0.729,73.4,69.0,13.3,13.8,5.4,7.7,4928.0,16049.0,108,0.573,45.0,43.0,2.2,43.9,60.6,23.7,74.8,108,0.69,71.1,13.5,6.6,10512,-12
109,Turkmenistan,,,,69.9,61.5,10.6,11.0,,,8725.0,17552.0,109,,61.0,18.0,25.8,,,46.9,76.9,109,0.688,65.6,10.8,9.9,13066,-28
110,Gabon,,,,65.0,63.8,,,8.9,6.6,13527.0,19177.0,110,0.514,240.0,103.0,16.2,53.9,36.1,56.2,65.4,110,0.684,64.4,12.5,7.8,16367,-42
110,Indonesia,0.927,0.655,0.706,71.0,66.9,13.1,12.9,7.0,8.2,6485.0,13052.0,110,0.494,190.0,48.3,17.1,39.9,49.2,51.4,84.2,110,0.684,68.9,13.0,7.6,9788,-9
112,Paraguay,0.956,0.662,0.692,75.1,70.8,12.2,11.7,7.5,7.9,5576.0,9678.0,112,0.472,110.0,67.0,16.8,36.8,43.0,55.7,84.8,112,0.679,72.9,11.9,7.7,7643,-3
113,"Palestine, State of",0.86,0.607,0.706,74.9,71.0,13.8,12.2,8.4,9.3,1580.0,7726.0,113,,,45.8,,53.9,59.4,15.4,66.4,113,0.677,72.9,13.0,8.9,4699,21
114,Uzbekistan,0.945,0.64,0.678,71.8,65.0,11.3,11.7,9.5,9.9,3811.0,7342.0,114,,36.0,38.8,16.4,,,48.1,75.6,114,0.675,68.4,11.5,10.9,5567,10
115,Philippines,0.977,0.649,0.664,71.8,64.9,11.5,11.1,8.4,7.9,5382.0,10439.0,115,0.42,120.0,46.8,27.1,65.9,63.7,51.1,79.7,115,0.668,68.2,11.3,8.9,7915,-7
116,El Salvador,0.965,0.652,0.676,77.4,68.3,12.1,12.4,6.2,6.9,5497.0,9406.0,116,0.427,69.0,76.0,27.4,36.8,43.6,47.8,79.0,116,0.666,73.0,12.3,6.5,7349,-3
116,South Africa,0.948,0.646,0.681,59.3,55.2,13.7,13.4,9.7,10.2,8713.0,15737.0,116,0.407,140.0,50.9,40.7,72.7,75.9,44.5,60.5,116,0.666,57.4,13.6,9.9,12122,-29
116,Viet Nam,,,,80.5,71.0,,,7.0,7.9,4624.0,5570.0,116,0.308,49.0,29.0,24.3,59.4,71.2,73.0,82.2,116,0.666,75.8,11.9,7.5,5092,15
119,Bolivia (Plurinational State of),0.931,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383.0,7140.0,119,0.444,200.0,71.9,51.8,47.6,59.1,64.2,80.9,119,0.662,68.3,13.2,8.2,5760,4
120,Kyrgyzstan,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122.0,3992.0,120,0.353,75.0,29.3,23.3,94.5,96.8,56.0,79.5,120,0.655,70.6,12.5,10.6,3044,29
121,Iraq,0.787,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,4279.0,23515.0,121,0.539,67.0,68.7,26.5,27.8,50.2,14.9,69.8,121,0.654,69.4,10.1,6.4,14003,-44
122,Cabo Verde,,,,75.0,71.4,13.9,13.1,,,4098.0,8105.0,122,,53.0,70.6,20.8,,,51.5,83.7,122,0.646,73.3,13.5,4.7,6094,-1
123,Micronesia (Federated States of),,,,70.1,68.1,,,,,,,123,,96.0,18.6,0.0,,,,,123,0.64,69.1,11.7,9.7,3432,21
124,Guyana,0.984,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8.0,4164.0,8804.0,124,0.515,250.0,88.5,31.3,60.3,47.8,42.6,80.5,124,0.636,66.4,10.3,8.5,6522,-4
125,Nicaragua,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,2967.0,5979.0,125,0.449,100.0,100.8,39.1,39.4,38.3,47.4,80.3,125,0.631,74.9,11.5,6.0,4457,12
126,Morocco,0.828,0.555,0.67,75.1,73.0,10.6,11.6,3.2,5.3,3222.0,10573.0,126,0.525,120.0,35.8,11.0,20.7,30.2,26.5,75.8,126,0.628,74.0,11.6,4.4,6850,-8
