gdirank,country,genderdev,femalehumandevelopment,malehumandevelopment,femalelifeexpectancy,malelifeexpectancy,femaleexpectededucation,maleexpectededucation,femaleyearseducation,maleyearseducation,femaleincomepercapita,maleincomepercapita,giirank,genderinequality,maternalmortality,adolescentbirthrate,femaleperparliament,femalepersecondaryeducation,malepersecondaryeducation,femalelaborforceparticipation,malelaborforceparticipation,hdirank,hdi,lifeexpectancy,expectededucation,education,incomepercapita,incomerank
1,Norway,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825,1,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,1,0.944,81.6,17.5,12.6,64992,5
2,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914,2,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,2,0.935,82.4,20.2,13,42261,17
3,Switzerland,0.95,0.898,0.945,85,80.8,15.7,15.9,11.5,13.1,44132,69077,3,0.028,6,1.9,28.5,95,96.6,61.8,74.9,3,0.93,83,15.8,12.8,56431,6
4,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727,4,0.048,5,5.1,38,95.5,96.6,58.7,66.4,4,0.923,80.2,18.7,12.7,44025,11
5,Netherlands,0.947,0.893,0.943,83.3,79.7,18,17.9,11.6,12.2,29500,61641,5,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,5,0.922,81.6,17.9,11.9,45435,9
6,Germany,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290,6,0.041,7,3.8,36.9,96.3,97,53.6,66.4,6,0.916,80.9,16.5,13.1,43919,11
6,Ireland,0.973,0.901,0.926,83,78.8,18.5,18.7,12.3,12,30104,49166,6,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,6,0.916,80.9,18.6,12.2,39568,16
8,United States,0.995,0.911,0.916,81.4,76.7,17.2,15.7,13,12.9,43054,63158,8,0.28,28,31,19.4,95.1,94.8,56.3,68.9,8,0.915,79.1,16.5,12.9,52947,3
9,Canada,0.982,0.904,0.921,84,80,16.3,15.5,13.1,13,33587,50853,9,0.129,11,14.5,28.2,100,100,61.6,71,9,0.913,82,15.9,13,42155,11
9,New Zealand,0.961,0.894,0.93,83.6,80,20,18.3,12.5,12.6,24309,41372,9,0.157,8,25.3,31.4,95,95.3,62,73.8,9,0.913,81.8,19.2,12.5,32689,23
11,Singapore,0.985,0.898,0.912,86,79.9,15.5,15.3,10.1,10.9,59994,93699,11,0.088,6,6,25.3,74.1,81,58.8,77.2,11,0.912,83,15.4,10.6,76628,-7
12,"Hong Kong, China (SAR)",0.958,0.892,0.931,86.8,81.2,15.7,15.5,10.9,11.9,38060,72052,12,,,3.3,,72.2,79.2,51.3,67.8,12,0.91,84,15.6,11.2,53959,-2
13,Liechtenstein,,,,,,13.8,16.1,,,,,13,,,,20,,,,,13,0.908,80,15,11.8,79851,-10
14,Sweden,0.999,0.906,0.906,83.9,80.4,16.6,15.1,12.2,12,40222,51084,14,0.055,4,6.5,43.6,86.5,87.3,60.3,67.9,14,0.907,82.2,15.8,12.1,45636,-1
14,United Kingdom,0.965,0.888,0.92,82.6,78.7,16.6,15.8,12.9,13.2,27259,51628,14,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,14,0.907,80.7,16.2,13.1,39267,9
16,Iceland,0.975,0.886,0.909,84,81,20.1,17.9,10.8,10.4,28792,41486,16,0.087,4,11.5,41.3,91,91.6,70.5,77.4,16,0.899,82.6,19,10.6,35182,12
17,Korea (Republic of),0.93,0.861,0.926,85,78.5,16,17.7,11.2,12.7,21896,46018,17,0.125,27,2.2,16.3,77,89.1,50.1,72.1,17,0.898,81.9,16.9,11.9,33890,13
