iso_code,lastdate,location,total_cases,total_deaths,total_cases_mill,total_deaths_mill,population,population_density,median_age,gdp_per_capita,aged_65_older,total_tests_thous,life_expectancy,hospital_beds_thous,diabetes_prevalence,region
AFG,2021-07-07,Afghanistan,129021.0,5415.0,3314.321,139.102,38928341.0,54.422,18.6,1803.987,2.5810000000000004,,64.83,0.5,9.59,South Asia
ALB,2021-07-07,Albania,132557.0,2456.0,46061.922,853.43,2877800.0,104.87100000000001,38.0,11803.431,13.187999999999999,,78.57,2.89,10.08,Eastern Europe
DZA,2021-07-07,Algeria,143032.0,3786.0,3261.77,86.338,43851043.0,17.348,29.1,13913.839,6.211,,76.88,1.9,6.73,North Africa
AND,2021-07-07,Andorra,14021.0,127.0,181466.38199999998,1643.694,77265.0,163.755,,,,,83.73,,7.97,Western Europe
AGO,2021-07-07,Angola,39491.0,925.0,1201.566,28.144000000000002,32866268.0,23.89,16.8,5819.495,2.405,,61.15,,3.94,Central Africa
AIA,2021-07-02,Anguilla,,,,,15002.0,,,,,,81.88,,,Western Europe
ATG,2021-07-07,Antigua and Barbuda,1265.0,42.0,12917.653999999999,428.88699999999994,97928.0,231.845,32.1,21490.943,6.933,170.533,77.02,3.8,13.17,Caribbean
ARG,2021-07-07,Argentina,4593763.0,97439.0,101641.421,2155.9320000000002,45195777.0,16.177,31.9,18933.907,11.198,,76.67,5.0,5.5,South America
ARM,2021-07-07,Armenia,225801.0,4531.0,76200.867,1529.0729999999999,2963234.0,102.931,35.7,8787.58,11.232000000000001,,75.09,4.2,7.11,Central Asia
ABW,2021-07-07,Aruba,,,,,106766.0,584.8,41.2,35973.781,13.085,,76.29,,11.62,Caribbean
AUS,2021-07-07,Australia,30903.0,910.0,1211.888,35.686,25499881.0,3.202,37.9,44648.71,15.504000000000001,,83.44,3.84,5.07,Oceania / Aus
AUT,2021-07-07,Austria,651008.0,10719.0,72282.821,1190.154,9006400.0,106.749,44.4,45436.685999999994,19.202,,81.54,7.37,6.35,Western Europe
AZE,2021-07-07,Azerbaijan,336684.0,4979.0,33206.252,491.066,10139175.0,119.309,32.4,15847.419,6.018,,73.0,4.7,7.11,Central Asia
BHS,2021-07-07,Bahamas,12965.0,252.0,32969.017,640.817,393248.0,39.497,34.3,27717.847,8.996,,73.92,2.9,13.17,West Asia
BHR,2021-07-07,Bahrain,266797.0,1367.0,156793.409,803.37,1701583.0,1935.9070000000002,32.4,43290.705,2.372,3005.1540000000005,77.29,2.0,16.52,South Asia
BGD,2021-07-07,Bangladesh,977568.0,15593.0,5935.829000000001,94.681,164689383.0,1265.036,27.5,3523.9840000000004,5.098,,72.59,0.8,8.38,South Asia
BRB,2021-07-07,Barbados,4108.0,47.0,14295.11,163.55200000000002,287371.0,664.4630000000001,39.8,16978.068,14.952,,79.19,5.8,13.57,Caribbean
BLR,2021-07-07,Belarus,423519.0,3214.0,44820.045999999995,340.13,9449321.0,46.858000000000004,40.3,17167.967,14.799000000000001,,74.79,11.0,5.18,Eastern Europe
BEL,2021-07-07,Belgium,1091095.0,25196.0,94144.189,2174.015,11589616.0,375.564,41.8,42658.575999999994,18.570999999999998,,81.63,5.64,4.29,Western Europe
BLZ,2021-07-07,Belize,13444.0,330.0,33811.091,829.936,397621.0,16.426,25.0,7824.361999999999,3.853,404.629,74.62,1.3,17.11,Central America
BEN,2021-07-07,Benin,8227.0,105.0,678.6160000000001,8.661,12123198.0,99.11,18.8,2064.236,3.2439999999999998,,61.77,0.5,0.99,West Africa
BMU,2021-07-03,Bermuda,,,,,62273.0,1308.82,,50669.315,,,82.59,,13.0,Caribbean
BTN,2021-07-07,Bhutan,2249.0,1.0,2914.677,1.296,771612.0,21.188000000000002,28.6,8708.597,4.885,,71.78,1.7,9.75,South Asia
