iso_code,lastdate,location,total_cases,total_deaths,total_cases_mill,total_deaths_mill,population,population_density,median_age,gdp_per_capita,aged_65_older,total_tests_thous,life_expectancy,hospital_beds_thous,diabetes_prevalence,region
BOL,2021-07-07,Bolivia,449687.0,17067.0,38523.591,1462.088,11673029.0,10.202,25.4,6885.829000000001,6.704,,71.51,1.1,6.89,South America
BES,2021-04-09,Bonaire Sint Eustatius and Saba,,,,,26221.0,,,,,,77.79,,,Caribbean
BIH,2021-07-07,Bosnia and Herzegovina,205047.0,9667.0,62498.8,2946.5240000000003,3280815.0,68.49600000000001,42.5,11713.895,16.569000000000003,,77.4,3.5,10.08,Eastern Europe
BWA,2021-07-07,Botswana,73977.0,1188.0,31457.822,505.18300000000005,2351625.0,4.044,25.8,15807.374,3.9410000000000003,,69.59,1.8,4.81,Southern Africa
BRA,2021-07-07,Brazil,18909037.0,528540.0,88958.83300000001,2486.552,212559409.0,25.04,33.5,14103.452,8.552,,75.88,2.2,8.11,South America
VGB,2021-07-02,British Virgin Islands,,,,,30237.0,207.97299999999998,,,,,79.07,,13.67,Caribbean
BRN,2021-07-07,Brunei,266.0,3.0,608.024,6.857,437483.0,81.347,32.4,71809.25099999999,4.591,,75.86,2.7,12.79,East Asia
BGR,2021-07-07,Bulgaria,422298.0,18129.0,60775.9,2609.073,6948445.0,65.18,44.7,18563.307,20.801,470.66900000000004,75.05,7.454,5.81,Eastern Europe
BFA,2021-07-07,Burkina Faso,13504.0,168.0,646.023,8.037,20903278.0,70.15100000000001,17.6,1703.102,2.4090000000000003,,61.58,0.4,2.42,West Africa
BDI,2021-07-07,Burundi,5559.0,8.0,467.505,0.6729999999999999,11890781.0,423.06199999999995,17.5,702.225,2.562,,61.58,0.8,6.05,Central Africa
KHM,2021-07-07,Cambodia,57103.0,798.0,3415.461,47.73,16718971.0,90.67200000000001,25.6,3645.07,4.412,,69.82,0.8,4.0,East Asia
CMR,2021-07-07,Cameroon,80858.0,1324.0,3045.974,49.876000000000005,26545864.0,50.885,18.8,3364.926,3.165,,59.29,1.3,7.2,Central Africa
CAN,2021-07-07,Canada,1426122.0,26356.0,37785.917,698.317,37742157.0,4.037,41.4,44017.59099999999,16.984,,82.43,2.5,7.37,North America
CPV,2021-07-07,Cape Verde,32827.0,289.0,59042.640999999996,519.795,555988.0,135.58,25.7,6222.554,4.46,,72.98,2.1,2.42,West Africa
CYM,2021-07-07,Cayman Islands,,,,,65720.0,256.496,,49903.029,,,83.92,,13.22,Caribbean
CAF,2021-07-07,Central African Republic,7141.0,98.0,1478.54,20.291,4829764.0,7.479,18.3,661.24,3.655,,53.28,1.0,6.1,Central Africa
TCD,2021-07-07,Chad,4952.0,174.0,301.476,10.593,16425859.0,11.833,16.7,1768.1529999999998,2.4859999999999998,,54.24,,6.1,Central Africa
CHL,2021-07-07,Chile,1576336.0,33328.0,82460.701,1743.442,19116209.0,24.281999999999996,35.4,22767.037,11.087,,80.18,2.11,8.46,South America
CHN,2021-07-07,China,92021.0,4636.0,63.933,3.221,1439323774.0,147.674,38.7,15308.712,10.640999999999998,,76.91,4.34,9.74,East Asia
COL,2021-07-07,Colombia,4426811.0,110578.0,87000.002,2173.187,50882884.0,44.223,32.2,13254.948999999999,7.646,,77.29,1.71,7.44,South America
COM,2021-07-07,Comoros,3966.0,146.0,4560.744000000001,167.894,869595.0,437.352,20.4,1413.89,2.963,,64.32,2.2,11.88,East Africa
COG,2021-07-07,Congo,12790.0,167.0,2317.83,30.264,5518092.0,15.405,19.0,4881.406,3.4019999999999997,,64.57,,7.2,Central Africa
COK,2021-06-29,Cook Islands,,,,,17564.0,,,,,,76.25,,,Oceania / Aus
CRI,2021-07-07,Costa Rica,377091.0,4753.0,74024.845,933.038,5094114.0,96.079,33.6,15524.995,9.468,,80.28,1.13,8.78,Central America
CIV,2021-07-07,Cote d'Ivoire,48693.0,316.0,1845.951,11.98,26378275.0,76.399,18.7,3601.006,2.9330000000000003,,57.78,,2.42,West Africa
HRV,2021-07-07,Croatia,360483.0,8224.0,87809.85800000001,2003.28,4105268.0,73.726,44.0,22669.797000000002,19.724,,78.49,5.54,5.59,Eastern Europe
CUB,2021-07-07,Cuba,214577.0,1405.0,18944.493000000002,124.044,11326616.0,110.40799999999999,43.1,,14.738,,78.8,5.2,8.27,Caribbean
CUW,2021-07-07,Curacao,,,,,164100.0,362.644,41.7,,16.367,,78.88,,11.62,Caribbean
CYP,2021-07-07,Cyprus,80588.0,380.0,90751.741,427.926,888005.0,127.65700000000001,37.3,32415.132,13.415999999999999,,80.98,3.4,9.24,Eastern Europe
CZE,2021-07-07,Czechia,1668277.0,30311.0,155782.968,2830.428,10708982.0,137.17600000000002,43.3,32605.906000000003,19.027,,79.38,6.63,6.82,Western Europe
COD,2021-07-07,Democratic Republic of Congo,43019.0,969.0,480.33,10.819,89561404.0,35.879,17.0,808.133,3.02,,60.68,,6.1,Central Africa
DNK,2021-07-07,Denmark,297739.0,2539.0,51403.412000000004,438.348,5792203.0,136.52,42.3,46682.515,19.677,,80.9,2.5,6.41,Western Europe
DJI,2021-07-07,Djibouti,11609.0,155.0,11749.976,156.882,988002.0,41.285,25.4,2705.406,4.213,,67.11,1.4,6.05,East Africa
DMA,2021-07-07,Dominica,197.0,,2736.453,,71991.0,98.56700000000001,,9673.367,,,75.0,3.8,11.62,Caribbean
DOM,2021-07-07,Dominican Republic,330941.0,3870.0,30507.368,356.751,10847904.0,222.873,27.6,14600.861,6.981,,74.08,1.6,8.2,Caribbean
ECU,2021-07-07,Ecuador,465029.0,21728.0,26357.616,1231.532,17643060.0,66.939,28.1,10581.936000000002,7.104,,77.01,1.5,5.55,South America
EGY,2021-07-07,Egypt,282582.0,16332.0,2761.3590000000004,159.594,102334403.0,97.999,25.3,10550.206,5.159,,71.99,1.6,17.31,North Africa
SLV,2021-07-07,El Salvador,80235.0,2420.0,12370.107,373.1,6486201.0,307.811,27.6,7292.4580000000005,8.273,,73.32,1.3,8.87,Central America
GNQ,2021-07-07,Equatorial Guinea,8775.0,122.0,6254.522,86.95700000000001,1402985.0,45.193999999999996,22.4,22604.873,2.846,115.352,58.74,2.1,7.78,Central Africa
ERI,2021-07-07,Eritrea,6224.0,27.0,1755.006,7.6129999999999995,3546427.0,44.303999999999995,19.3,1510.4589999999998,3.6069999999999998,,66.32,0.7,6.05,East Africa
EST,2021-07-07,Estonia,131299.0,1270.0,98978.62,957.3789999999999,1326539.0,31.033,42.7,29481.252,19.452,,78.74,4.69,4.02,Eastern Europe
SWZ,2021-07-07,Eswatini,19522.0,684.0,16826.931,589.572,1160164.0,79.492,21.5,7738.975,3.1630000000000003,,60.19,2.1,3.94,Southern Africa
ETH,2021-07-07,Ethiopia,276683.0,4338.0,2406.701,37.734,114963583.0,104.95700000000001,19.8,1729.9270000000001,3.5260000000000002,,66.6,0.3,7.47,East Africa
FRO,2021-07-07,Faeroe Islands,,,,,48865.0,35.308,,,,,80.67,,,Western Europe
FLK,2021-04-14,Falkland Islands,,,,,3483.0,,,,,,81.44,,,South America
FJI,2021-07-07,Fiji,7940.0,42.0,8857.218,46.852,896444.0,49.562,28.6,8702.975,6.224,,67.44,2.3,14.49,Oceania / Aus
FIN,2021-07-07,Finland,97049.0,976.0,17515.6,176.15,5540718.0,18.136,42.8,40585.721,21.228,,81.91,3.28,5.76,Western Europe
FRA,2021-07-07,France,5856682.0,111448.0,86683.148,1649.511,67564251.0,122.57799999999999,42.0,38605.671,19.718,,82.66,5.98,4.77,Western Europe
PYF,2021-06-29,French Polynesia,,,,,280904.0,77.324,32.7,,7.775,,77.66,,22.63,Oceania / Aus
GAB,2021-07-07,Gabon,25133.0,161.0,11292.036,72.336,2225728.0,7.859,23.1,16562.413,4.45,392.475,66.47,6.3,7.2,Central Africa
GMB,2021-07-07,Gambia,6116.0,182.0,2530.761,75.31,2416664.0,207.56599999999997,17.5,1561.767,2.339,,62.05,1.1,1.91,West Africa
GEO,2021-07-07,Georgia,372685.0,5394.0,93424.079,1352.1589999999999,3989175.0,65.032,38.7,9745.079,14.864,,73.77,2.6,7.11,West Asia
DEU,2021-07-07,Germany,3740567.0,91148.0,44645.390999999996,1087.893,83783945.0,237.016,46.6,45229.245,21.453000000000003,,81.33,8.0,8.31,Western Europe
GHA,2021-07-07,Ghana,96708.0,797.0,3112.289,25.649,31072945.0,126.719,21.1,4227.63,3.385,,64.07,0.9,4.97,West Africa
GIB,2021-07-02,Gibraltar,,,,,33691.0,3457.1,,,,,79.93,,,Western Europe
GRC,2021-07-07,Greece,430960.0,12739.0,41346.799,1222.194,10423056.0,83.479,45.3,24574.382,20.396,,82.24,4.21,4.55,Eastern Europe
GRL,2021-07-07,Greenland,,,,,56772.0,0.13699999999999998,,,,,71.7,,2.16,Western Europe
GRD,2021-07-07,Grenada,161.0,1.0,1430.869,8.887,112519.0,317.132,29.4,13593.877,7.303999999999999,,72.4,3.7,10.71,Caribbean
GTM,2021-07-07,Guatemala,308273.0,9573.0,17206.991,534.34,17915567.0,157.834,22.9,7423.808000000001,4.694,,74.3,0.6,10.18,Central America
GGY,2021-07-07,Guernsey,,,,,67052.0,,,,,,,,,Western Europe
GIN,2021-07-07,Guinea,23945.0,174.0,1823.299,13.249,13132792.0,51.755,19.0,1998.9260000000002,3.135,,61.6,0.3,2.42,West Africa
GNB,2021-07-07,Guinea-Bissau,3906.0,70.0,1984.7579999999998,35.569,1967998.0,66.191,19.4,1548.675,3.002,,58.32,,2.42,West Africa
GUY,2021-07-07,Guyana,20645.0,484.0,26247.236,615.3380000000001,786559.0,3.952,26.3,7435.047,5.305,,69.91,1.6,11.62,South America
HTI,2021-07-07,Haiti,19172.0,467.0,1681.381,40.955999999999996,11402533.0,398.44800000000004,24.3,1653.1729999999998,4.8,,64.0,0.7,6.65,Caribbean
HND,2021-07-07,Honduras,270689.0,7175.0,27329.603,724.41,9904608.0,82.805,24.9,4541.795,4.652,,75.27,0.7,7.21,Central America
HKG,2021-07-07,Hong Kong,11945.0,212.0,1593.307,28.278000000000002,7496988.0,7039.714,44.8,56054.92,16.303,,84.86,,8.33,East Asia
HUN,2021-07-07,Hungary,808338.0,29999.0,83675.85,3105.3740000000003,9660350.0,108.04299999999999,43.4,26777.561,18.577,,76.88,7.02,7.55,Eastern Europe
ISL,2021-07-07,Iceland,6555.0,29.0,19208.791,84.98200000000001,341250.0,3.404,37.3,46482.958,14.431,,82.99,2.91,5.31,Western Europe
IND,2021-07-07,India,30709557.0,405028.0,22253.231,293.498,1380004385.0,450.41900000000004,28.2,6426.674,5.989,,69.66,0.53,10.39,South Asia
IDN,2021-07-07,Indonesia,2379397.0,62908.0,8699.055,229.99099999999999,273523621.0,145.725,29.3,11188.743999999999,5.319,,71.72,1.04,6.32,East Asia
IRN,2021-07-07,Iran,3304135.0,85261.0,39338.241,1015.097,83992953.0,49.831,32.4,19082.62,5.44,,76.68,1.5,9.59,West Asia
IRQ,2021-07-07,Iraq,1397100.0,17413.0,34734.288,432.917,40222503.0,88.125,20.0,15663.986,3.1860000000000004,,70.6,1.4,8.83,West Asia
IRL,2021-07-07,Ireland,275571.0,5006.0,55808.502,1013.813,4937796.0,69.874,38.7,67335.293,13.927999999999999,,82.3,2.96,3.28,Western Europe
IMN,2021-07-07,Isle of Man,,,,,85032.0,147.872,,,,,81.4,,,Western Europe
ISR,2021-07-07,Israel,844378.0,6429.0,97553.463,742.7610000000001,8655541.0,402.606,30.6,33132.32,11.732999999999999,,82.97,2.99,6.74,West Asia
ITA,2021-07-07,Italy,4265714.0,127718.0,70552.18400000001,2112.374,60461828.0,205.859,47.9,35220.084,23.021,,83.51,3.18,4.78,Western Europe
JAM,2021-07-07,Jamaica,50456.0,1101.0,17039.263,371.814,2961161.0,266.879,31.4,8193.571,9.684,,74.47,1.7,11.28,Caribbean
JPN,2021-07-07,Japan,812089.0,14848.0,6420.871,117.397,126476458.0,347.778,48.2,39002.223,27.049,,84.63,13.05,5.72,East Asia
JEY,2021-06-27,Jersey,,,,,101073.0,,,,,,,,,Western Europe
JOR,2021-07-07,Jordan,754927.0,9800.0,73989.674,960.4889999999999,10203140.0,109.285,23.2,8337.49,3.81,,74.53,1.4,11.75,West Asia
KAZ,2021-07-07,Kazakhstan,502581.0,3556.0,26766.195,189.38400000000001,18776707.0,6.681,30.6,24055.588,6.9910000000000005,,73.6,6.7,7.11,Central Asia
KEN,2021-07-07,Kenya,186959.0,3705.0,3476.929,68.903,53771300.0,87.324,20.0,2993.028,2.6860000000000004,,66.7,1.4,2.92,East Africa
KIR,2021-07-07,Kiribati,2.0,,16.744,,119446.0,143.701,23.2,1981.132,3.895,,68.37,1.9,22.66,Oceania / Aus
XKX,2021-07-07,Kosovo,107819.0,2265.0,55784.587,1171.891,1932774.0,168.155,,9795.834,,,,,,Eastern Europe
KWT,2021-07-07,Kuwait,369227.0,2059.0,86458.62400000001,482.13800000000003,4270563.0,232.128,33.7,65530.537000000004,2.345,,75.49,2.0,15.84,West Asia
KGZ,2021-07-07,Kyrgyzstan,134501.0,2063.0,20615.736,316.20799999999997,6524191.0,32.333,26.3,3393.474,4.489,,71.45,4.5,7.11,Central Asia
LAO,2021-07-07,Laos,2400.0,3.0,329.87199999999996,0.41200000000000003,7275556.0,29.715,24.4,6397.36,4.029,,67.92,1.5,4.0,East Asia
LVA,2021-07-07,Latvia,137747.0,2534.0,73028.76400000001,1343.44,1886202.0,31.212,43.9,25063.846,19.754,,75.29,5.57,4.91,Eastern Europe
LBN,2021-07-07,Lebanon,546366.0,7867.0,80048.442,1152.599,6825442.0,594.561,31.1,13367.565,8.514,,78.93,2.9,12.71,West Asia
LSO,2021-07-07,Lesotho,11638.0,333.0,5432.601,155.444,2142252.0,73.562,22.2,2851.153,4.506,,54.33,,3.94,Southern Africa
LBR,2021-07-07,Liberia,4994.0,135.0,987.41,26.691999999999997,5057677.0,49.126999999999995,19.2,752.788,3.057,,64.1,0.8,2.42,West Africa
LBY,2021-07-07,Libya,198142.0,3223.0,28836.228,469.05300000000005,6871287.0,3.623,29.0,17881.509,4.4239999999999995,,72.91,3.7,10.43,North Africa
LIE,2021-07-07,Liechtenstein,3049.0,59.0,79948.606,1547.0539999999999,38137.0,237.012,,,,,82.49,2.397,7.77,Western Europe
LTU,2021-07-07,Lithuania,278984.0,4395.0,102481.329,1614.4489999999998,2722291.0,45.135,43.5,29524.265,19.002,,75.93,6.56,3.67,Eastern Europe
LUX,2021-07-07,Luxembourg,71748.0,819.0,114617.81300000001,1308.357,625976.0,231.447,39.7,94277.965,14.312000000000001,,82.25,4.51,4.42,Western Europe
MAC,2021-07-07,Macao,,,,,649342.0,20546.766,39.2,104861.851,9.798,,84.24,,,East Asia
MDG,2021-07-07,Madagascar,42358.0,926.0,1529.6660000000002,33.44,27691019.0,43.951,19.6,1416.44,2.929,,67.04,0.2,3.94,East Africa
MWI,2021-07-07,Malawi,37556.0,1218.0,1963.204,63.67,19129955.0,197.519,18.1,1095.042,2.9789999999999996,,64.26,1.3,3.94,Southern Africa
MYS,2021-07-07,Malaysia,799790.0,5768.0,24710.808999999997,178.21200000000002,32365998.0,96.25399999999999,29.9,26808.164,6.292999999999999,,76.16,1.9,16.74,East Asia
MDV,2021-07-07,Maldives,74724.0,213.0,138239.027,394.04900000000004,540542.0,1454.433,30.6,15183.616000000002,4.12,,78.92,,9.19,South Asia
MLI,2021-07-07,Mali,14454.0,527.0,713.748,26.024,20250834.0,15.196,16.4,2014.306,2.519,,59.31,0.1,2.42,West Africa
MLT,2021-07-07,Malta,30700.0,420.0,69529.532,951.2180000000001,441539.0,1454.037,42.4,36513.323,19.426,,82.53,4.485,8.83,Western Europe
MHL,2021-07-07,Marshall Islands,4.0,,67.574,,59194.0,295.15,,3819.202,,,73.7,2.7,30.53,Oceania / Aus
MRT,2021-07-07,Mauritania,21303.0,490.0,4581.625,105.384,4649660.0,4.289,20.3,3597.633,3.138,,64.92,,2.42,West Africa
MUS,2021-07-07,Mauritius,1858.0,18.0,1460.9589999999998,14.154000000000002,1271767.0,622.962,37.4,20292.745,10.945,,74.99,3.4,22.02,East Africa
MEX,2021-07-07,Mexico,2558369.0,234192.0,19842.662,1816.389,128932753.0,66.444,29.3,17336.468999999997,6.857,,75.05,1.38,13.06,North America
FSM,2021-07-07,Micronesia (country),1.0,,8.693999999999999,,115021.0,150.77700000000002,23.0,3299.4640000000004,4.81,,67.88,,12.02,Oceania / Aus
MDA,2021-07-07,Moldova,257187.0,6203.0,63755.419,1537.694,4033963.0,123.655,37.6,5189.972,10.864,,71.9,5.8,5.72,Eastern Europe
MCO,2021-07-07,Monaco,2599.0,33.0,66226.68400000001,840.893,39244.0,19347.5,,,,,86.75,13.8,5.46,Western Europe
MNG,2021-07-07,Mongolia,130452.0,646.0,39792.672999999995,197.054,3278292.0,1.98,28.6,11840.846000000001,4.031000000000001,,69.87,7.0,4.82,East Asia
MNE,2021-07-07,Montenegro,100392.0,1619.0,159844.092,2577.771,628062.0,46.28,39.1,16409.288,14.762,,76.88,3.861,10.08,Eastern Europe
MSR,2021-07-02,Montserrat,,,,,4999.0,,,,,,74.16,,,Caribbean
MAR,2021-07-07,Morocco,537253.0,9341.0,14555.537,253.071,36910558.0,80.08,29.6,7485.013000000001,6.769,,76.68,1.1,7.14,North Africa
MOZ,2021-07-07,Mozambique,83116.0,934.0,2659.25,29.883000000000003,31255435.0,37.728,17.7,1136.103,3.158,,60.85,0.7,3.3,Southern Africa
MMR,2021-07-07,Myanmar,175923.0,3570.0,3233.297,65.613,54409794.0,81.721,29.1,5591.597,5.732,,67.13,0.9,4.61,East Asia
NAM,2021-07-07,Namibia,99808.0,1742.0,39280.323,685.58,2540916.0,3.0780000000000003,22.0,9541.808,3.552,,63.71,,3.94,Southern Africa
NRU,2021-06-29,Nauru,,,,,10834.0,682.45,,12895.635,,,59.96,5.0,24.07,Oceania / Aus
NPL,2021-07-07,Nepal,650162.0,9291.0,22314.112,318.875,29136808.0,204.43,25.0,2442.804,5.809,,70.78,0.3,7.26,South Asia
NLD,2021-07-07,Netherlands,1724262.0,18044.0,100628.817,1053.057,17134873.0,508.54400000000004,43.2,48472.545,18.779,,82.28,3.32,5.29,Western Europe
NCL,2021-07-06,New Caledonia,,,,,285491.0,15.342,33.4,,9.954,,77.55,,23.36,Oceania / Aus
NZL,2021-07-07,New Zealand,2765.0,26.0,573.386,5.392,4822233.0,18.206,37.9,36085.843,15.322000000000001,483.07199999999995,82.29,2.61,8.08,Oceania / Aus
NIC,2021-07-07,Nicaragua,8461.0,192.0,1277.218,28.983,6624554.0,51.667,27.3,5321.444,5.445,,74.48,0.9,11.47,Central America
NER,2021-07-07,Niger,5526.0,194.0,228.285,8.014,24206636.0,16.955,15.1,926.0,2.553,,62.42,0.3,2.42,West Africa
NGA,2021-07-07,Nigeria,168110.0,2122.0,815.515,10.294,206139587.0,209.588,18.1,5338.454000000001,2.7510000000000003,,54.69,,2.42,West Africa
NIU,2021-07-06,Niue,,,,,1618.0,,,,,,73.71,,,Oceania / Aus
MKD,2021-07-07,North Macedonia,155741.0,5486.0,74754.006,2633.2209999999995,2083380.0,82.6,39.1,13111.214,13.26,,75.8,4.28,10.08,Eastern Europe
NOR,2021-07-07,Norway,132574.0,796.0,24454.543999999998,146.83,5421242.0,14.462,39.7,64800.057,16.820999999999998,,82.4,3.6,5.31,Western Europe
OMN,2021-07-07,Oman,280235.0,3356.0,54876.785,657.186,5106622.0,14.98,30.7,37960.709,2.355,,77.86,1.6,12.61,West Asia
PAK,2021-07-07,Pakistan,967633.0,22493.0,4380.564,101.82799999999999,220892331.0,255.57299999999998,23.5,5034.708,4.495,67.281,67.27,0.6,8.35,South Asia
PSE,2021-07-07,Palestine,314869.0,3577.0,61721.883,701.178,5101416.0,778.202,20.4,4449.898,3.043,,74.05,,10.59,West Asia
PAN,2021-07-07,Panama,411226.0,6599.0,95306.631,1529.399,4314768.0,55.133,29.7,22267.037,7.917999999999999,,78.51,2.3,8.33,Central America
PNG,2021-07-07,Papua New Guinea,17292.0,177.0,1932.7089999999998,19.783,8947027.0,18.22,22.6,3823.1940000000004,3.8080000000000003,,64.5,,17.65,Oceania / Aus
PRY,2021-07-07,Paraguay,432801.0,13645.0,60679.871,1913.066,7132530.0,17.144000000000002,26.5,8827.01,6.377999999999999,,74.25,1.3,8.27,South America
PER,2021-07-07,Peru,2071637.0,193743.0,62830.483,5876.013000000001,32971846.0,25.129,29.1,12236.706,7.151,,76.74,1.6,5.95,South America
PHL,2021-07-07,Philippines,1450110.0,25459.0,13233.214,232.33,109581085.0,351.87300000000005,25.2,7599.188,4.803,,71.23,1.0,7.07,East Asia
PCN,2021-06-21,Pitcairn,,,,,47.0,,,,,,,,,Oceania / Aus
POL,2021-07-07,Poland,2880503.0,75114.0,76109.944,1984.6960000000001,37846605.0,124.027,41.8,27216.445,16.762999999999998,,78.73,6.62,5.91,Eastern Europe
PRT,2021-07-07,Portugal,896026.0,17126.0,87874.056,1679.5620000000001,10196707.0,112.37100000000001,46.2,27936.896,21.502,,82.05,3.39,9.85,Western Europe
QAT,2021-07-07,Qatar,222918.0,596.0,77373.606,206.868,2881060.0,227.322,31.9,116935.6,1.307,,80.23,1.2,16.52,West Asia
ROU,2021-07-07,Romania,1081090.0,34098.0,56196.47900000001,1772.4589999999998,19237682.0,85.12899999999999,43.0,23313.199,17.85,,76.05,6.892,9.74,Eastern Europe
RUS,2021-07-07,Russia,5614540.0,137718.0,38473.024,943.698,145934460.0,8.823,39.6,24765.953999999998,14.177999999999999,,72.58,8.05,6.18,Eastern Europe
RWA,2021-07-07,Rwanda,45039.0,507.0,3477.322,39.144,12952209.0,494.869,20.3,1854.211,2.9739999999999998,,69.02,,4.28,Central Africa
SHN,2021-05-05,Saint Helena,,,,,6071.0,,,,,,80.56,,,West Africa
KNA,2021-07-07,Saint Kitts and Nevis,517.0,3.0,9719.507,56.398999999999994,53192.0,212.865,,24654.385,,413.07,76.23,2.3,12.84,Caribbean
LCA,2021-07-07,Saint Lucia,5363.0,85.0,29205.627,462.89,183629.0,293.187,34.9,12951.839,9.721,,76.2,1.3,11.62,Caribbean
VCT,2021-07-07,Saint Vincent and the Grenadines,2240.0,12.0,20189.82,108.16,110947.0,281.78700000000003,31.8,10727.146,7.724,,72.53,2.6,11.62,Caribbean
WSM,2021-07-07,Samoa,3.0,,15.12,,198410.0,69.413,22.0,6021.557,5.606,,73.32,,9.21,Oceania / Aus
SMR,2021-07-07,San Marino,5092.0,90.0,150038.305,2651.895,33938.0,556.6669999999999,,56861.47,,,84.97,3.8,5.64,Western Europe
STP,2021-07-07,Sao Tome and Principe,2386.0,37.0,10886.973999999998,168.826,219161.0,212.84099999999998,18.7,3052.7140000000004,2.886,,70.39,2.9,2.42,Central Africa
SAU,2021-07-07,Saudi Arabia,496516.0,7921.0,14262.018,227.524,34813867.0,15.322000000000001,31.9,49045.41099999999,3.295,,75.13,2.7,17.72,West Asia
SEN,2021-07-07,Senegal,44436.0,1183.0,2653.857,70.652,16743930.0,82.32799999999999,18.7,2470.58,3.008,,67.94,,2.42,West Africa
SRB,2021-07-07,Serbia,717196.0,7063.0,105398.763,1037.975,6804596.0,80.291,41.2,14048.881000000001,17.366,,76.0,5.609,10.08,Eastern Europe
SYC,2021-07-07,Seychelles,16304.0,71.0,165792.15,721.985,98340.0,208.354,36.2,26382.287,8.606,,73.4,3.6,10.55,East Africa
SLE,2021-07-07,Sierra Leone,5867.0,108.0,735.4910000000001,13.539000000000001,7976985.0,104.7,19.1,1390.3,2.5380000000000003,,54.7,,2.42,West Africa
SGP,2021-07-07,Singapore,62652.0,36.0,10709.116000000002,6.153,5850343.0,7915.731,42.4,85535.383,12.922,,83.62,2.4,10.99,East Asia
SXM,2021-07-02,Sint Maarten (Dutch part),,,,,42882.0,1209.088,,36327.232,,,78.95,,,Western Europe
